base,depth,text,WC,FRE,TTR,MCD,n_sent,added_words,vocab_monotonic
student-homework,0,The student finished the homework.,5,66.4,0.8,0.0,1,finished homework student the,True
student-homework,1,The teacher said that the student finished the homework.,9,75.5,0.7778,1.0,1,said teacher that,True
student-homework,2,The principal claimed that the teacher said that the student finished the homework.,13,69.994,0.6923,2.0,1,claimed principal,True
student-homework,3,The superintendent reported that the principal claimed that the teacher said that the student finished the homework.,17,45.262,0.6471,3.0,1,reported superintendent,True
student-homework,4,The board confirmed that the superintendent reported that the principal claimed that the teacher said that the student finished the homework.,21,48.549,0.619,4.0,1,board confirmed,True
city-bridge,0,The city built the bridge.,5,100.24,0.8,0.0,1,bridge built city the,True
city-bridge,1,The mayor announced that the city built the bridge.,9,84.9,0.7778,1.0,1,announced mayor that,True
city-bridge,2,The journalist wrote that the mayor announced that the city built the bridge.,13,76.502,0.6923,2.0,1,journalist wrote,True
city-bridge,3,The editor insisted that the journalist wrote that the mayor announced that the city built the bridge.,17,60.192,0.6471,3.0,1,editor insisted,True
city-bridge,4,The publisher demanded that the editor insisted that the journalist wrote that the mayor announced that the city built the bridge.,21,48.549,0.619,4.0,1,demanded publisher,True
scientist-result,0,The scientist published the result.,5,49.48,0.8,0.0,1,published result scientist the,True
scientist-result,1,The journal confirmed that the scientist published the result.,9,56.7,0.7778,1.0,1,confirmed journal that,True
scientist-result,2,The committee verified that the journal confirmed that the scientist published the result.,13,43.963,0.6923,2.0,1,committee verified,True
scientist-result,3,The agency declared that the committee verified that the journal confirmed that the scientist published the result.,17,40.286,0.6471,3.0,1,agency declared,True
scientist-result,4,The minister announced that the agency declared that the committee verified that the journal confirmed that the scientist published the result.,21,36.463,0.619,4.0,1,announced minister,True
company-product,0,The company released the product.,5,49.48,0.8,0.0,1,company product released the,True
company-product,1,Analysts noted that the company released the product.,8,40.09,0.875,1.0,1,analysts noted that,True
company-product,2,The newspaper reported that analysts noted that the company released the product.,12,32.505,0.75,2.0,1,newspaper reported,True
company-product,3,Investors heard that the newspaper reported that analysts noted that the company released the product.,15,33.69,0.7333,3.0,1,heard investors,True
company-product,4,Regulators learned that investors heard that the newspaper reported that analysts noted that the company released the product.,18,28.765,0.7222,4.0,1,learned regulators,True
engineer-plan,0,The engineer approved the plan.,5,66.4,0.8,0.0,1,approved engineer plan the,True
engineer-plan,1,Management confirmed that the engineer approved the plan.,8,50.665,0.875,1.0,1,confirmed management that,True
engineer-plan,2,Auditors verified that management confirmed that the engineer approved the plan.,11,34.161,0.8182,2.0,1,auditors verified,True
