corpus_id,register,MCD_sm,MCD_trf,MCD_stanza,t_sm,t_trf,t_stanza
csat_250932,csat,1.2857,1.2857,1.4286,0.112,0.517,4.563
gutenberg_92455_208,gutenberg_fiction,1.0,1.1429,1.4286,0.104,0.505,4.591
brown_cf38_231,brown_news_general,1.6667,1.6667,2.3333,0.099,0.478,4.365
wikitext_526658_566,wikitext_modern_encyclopedic,0.1667,0.3333,0.3333,0.093,0.857,4.47
swiki_1249246,simple_wikipedia,0.7143,0.625,0.7778,0.121,0.712,4.873
brown_ca12_1,brown_news_general,1.4286,1.25,1.0,0.138,0.701,5.807
onestop_ELE_WNL The millenials-ele_c0,onestop_ele,1.3714,1.3429,1.5429,0.273,1.773,8.034
cl_v2_10254645_c0,judicial_opinion,0.5417,0.7778,1.125,0.2,1.248,9.354
wikitext_819249_1928,wikitext_modern_encyclopedic,1.5385,1.6154,1.5833,0.126,0.956,6.385
gutenberg_60678_10141,gutenberg_fiction,1.4,1.5,1.2,0.15,0.886,7.249
arxiv_2605.19109v1,arxiv_abstract,1.3333,1.5,1.6667,0.107,0.689,6.232
onestop_INT_WNL Switched Babies-int_c0,onestop_int,1.1842,1.2162,1.0769,0.26,1.685,8.05
csat_251133,csat,2.75,3.0,3.5,0.073,0.553,4.664
arxiv_2605.18583v1,arxiv_abstract,0.9091,1.0909,0.6364,0.201,1.103,7.478
arxiv_2605.19994v1,arxiv_abstract,1.5,1.125,1.625,0.151,0.995,8.108
wikitext_803529_1502,wikitext_modern_encyclopedic,0.3333,0.3333,0.3333,0.081,0.563,3.662
cl_v2_10312724_c2,judicial_opinion,1.0,0.7391,0.9,0.23,1.408,9.979
onestop_INT_WNL six well paid jobs-int_c0,onestop_int,1.0952,0.8704,0.9375,0.437,2.321,9.53
onestop_ELE_False memory-ele_c0,onestop_ele,1.0588,1.0882,1.1176,0.237,1.616,7.742
onestop_INT_Brazil-int_c0,onestop_int,0.9459,1.0,0.9722,0.365,1.91,11.592
arxiv_2605.19730v1,arxiv_abstract,1.3333,1.2222,1.3333,0.114,0.995,6.805
cl_v2_10257436_c0,judicial_opinion,0.68,0.8824,0.9412,0.197,1.308,8.774
reuters_test_15352_c8,reuters_newswire,1.7333,1.8667,2.0667,0.198,1.036,8.925
wikitext_287195_582,wikitext_modern_encyclopedic,1.4444,1.4444,1.2308,0.12,0.803,4.905
arxiv_2605.19718v1,arxiv_abstract,0.8,0.8,1.0,0.092,0.517,4.766
onestop_INT_WNL FIFA-int_c0,onestop_int,1.0357,0.8529,1.0333,0.288,1.581,10.6
csat_230633,csat,1.8,1.8,2.0,0.071,0.644,5.481
cl_v2_4588072_c1,judicial_opinion,1.125,1.1304,1.087,0.214,1.231,6.64
brown_cf28_182,brown_news_general,1.2308,1.2308,1.4615,0.156,0.846,5.125
reuters_test_14933,reuters_newswire,1.5,1.1429,1.2857,0.073,0.474,4.267
csat_241134,csat,0.875,0.875,0.75,0.128,0.684,4.479
cl_v2_10246785_c1,judicial_opinion,0.6667,0.5926,0.8235,0.173,1.24,6.224
brown_cf20_146,brown_news_general,0.7692,0.8333,0.6667,0.097,0.858,5.328
onestop_ELE_WNL Cuba-ele_c0,onestop_ele,0.9118,0.9118,0.8235,0.268,1.561,6.91
wikitext_549397_1863,wikitext_modern_encyclopedic,0.375,0.375,0.375,0.069,0.599,4.195
gutenberg_17071_20154,gutenberg_fiction,1.4286,0.8571,0.7143,0.085,0.678,5.004
onestop_ELE_Coal to challenge oil-ele_c0,onestop_ele,0.8421,0.8421,0.8947,0.17,1.057,5.626
onestop_INT_WNL What is world's-int_c0,onestop_int,1.1212,1.0294,1.1212,0.366,1.874,10.049
csat_261120,csat,1.0,1.0,1.0,0.069,0.516,4.595
reuters_test_18472,reuters_newswire,2.1111,1.8889,2.0,0.121,0.65,5.809
gutenberg_92455_1579,gutenberg_fiction,0.6667,0.5,0.6667,0.081,0.511,3.475
brown_cj04_312,brown_news_general,1.6,1.0,1.4,0.082,0.431,4.558
gutenberg_60678_10657,gutenberg_fiction,2.2222,2.0,2.1111,0.14,0.886,7.307
reuters_test_15696,reuters_newswire,1.3333,1.3333,1.3333,0.057,0.536,4.083
reuters_training_11083_c15,reuters_newswire,0.8333,0.8333,0.8889,0.18,1.452,6.631
onestop_ELE_Bolivia-ele_c0,onestop_ele,1.4516,1.4194,1.4839,0.249,1.586,9.138
